 2017-05-16 18:21:57,434 [P9648/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.2 application starting on MARK-PC
 2017-05-16 18:21:57,459 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-05-16 18:21:57,466 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 6ms)
 2017-05-16 18:21:57,547 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-05-16 18:21:57,554 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 6ms)
 2017-05-16 18:21:57,566 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-05-16 18:21:57,567 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2017-05-16 18:21:57,567 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-05-16 18:21:57,568 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 0ms)
 2017-05-16 18:21:57,578 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-05-16 18:21:57,579 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2017-05-16 18:21:57,580 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-05-16 18:21:57,582 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 2ms)
 2017-05-16 18:21:57,611 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-05-16 18:21:57,611 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2017-05-16 18:21:57,612 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-05-16 18:21:57,613 [P9648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2017-05-16 18:21:58,172 [P9648/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-16 18:21:58,381 [P9648/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-16 18:21:58,413 [P9648/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-16 18:21:58,450 [P9648/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will rebuild its caches and indexes and then adjust it's last synced id to the latest found in the database and will start maintaining cache updates based on that id
 2017-05-16 18:21:58,493 [P9648/D2/T1] INFO  umbraco.content - Load Xml from file...
 2017-05-16 18:21:58,494 [P9648/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2017-05-16 18:21:58,499 [P9648/D2/T1] INFO  umbraco.content - Loading content from database...
 2017-05-16 18:21:58,807 [P9648/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-05-16 18:21:58,818 [P9648/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-05-16 18:21:58,818 [P9648/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-05-16 18:21:58,826 [P9648/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1454ms)
 2017-05-16 18:21:59,888 [P9648/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:60222/umbraco (UmbracoModule request)
 2017-05-16 18:22:00,088 [P9648/D2/T7] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:22:02,659 [P9648/D2/T8] INFO  umbraco.content - Save Xml to file...
 2017-05-16 18:22:02,665 [P9648/D2/T7] INFO  umbraco.content - Saved Xml to file.
 2017-05-16 18:22:14,844 [P9648/D2/T16] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:23:32,265 [P9648/D2/T12] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:24:00,815 [P9648/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-05-16 18:24:00,815 [P9648/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 0ms)
 2017-05-16 18:25:29,404 [P16352/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.2 application starting on MARK-PC
 2017-05-16 18:25:29,425 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-05-16 18:25:29,433 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 7ms)
 2017-05-16 18:25:29,510 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-05-16 18:25:29,697 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 187ms)
 2017-05-16 18:25:29,708 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-05-16 18:25:29,711 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2017-05-16 18:25:29,711 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-05-16 18:25:29,715 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 3ms)
 2017-05-16 18:25:29,724 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-05-16 18:25:29,729 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 3ms)
 2017-05-16 18:25:29,729 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-05-16 18:25:29,733 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 3ms)
 2017-05-16 18:25:29,759 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-05-16 18:25:29,762 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 2ms)
 2017-05-16 18:25:29,763 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-05-16 18:25:29,766 [P16352/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 2ms)
 2017-05-16 18:25:30,226 [P16352/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-16 18:25:30,411 [P16352/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-16 18:25:30,450 [P16352/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-16 18:25:30,493 [P16352/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will rebuild its caches and indexes and then adjust it's last synced id to the latest found in the database and will start maintaining cache updates based on that id
 2017-05-16 18:25:30,536 [P16352/D2/T1] INFO  umbraco.content - Load Xml from file...
 2017-05-16 18:25:30,536 [P16352/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2017-05-16 18:25:30,539 [P16352/D2/T1] INFO  umbraco.content - Loading content from database...
 2017-05-16 18:25:30,835 [P16352/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-05-16 18:25:30,844 [P16352/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-05-16 18:25:30,845 [P16352/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-05-16 18:25:30,849 [P16352/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1500ms)
 2017-05-16 18:25:31,618 [P16352/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:60222/umbraco (UmbracoModule request)
 2017-05-16 18:25:31,809 [P16352/D2/T7] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:25:32,577 [P16352/D2/T15] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2017-05-16 18:25:34,692 [P16352/D2/T8] INFO  umbraco.content - Save Xml to file...
 2017-05-16 18:25:34,697 [P16352/D2/T7] INFO  umbraco.content - Saved Xml to file.
 2017-05-16 18:27:32,571 [P16352/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-05-16 18:27:32,571 [P16352/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 4ms)
 2017-05-16 18:29:13,842 [P14672/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.2 application starting on MARK-PC
 2017-05-16 18:29:13,863 [P14672/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-05-16 18:29:13,871 [P14672/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 8ms)
 2017-05-16 18:29:13,967 [P14672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-05-16 18:29:14,155 [P14672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 187ms)
 2017-05-16 18:29:14,165 [P14672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-05-16 18:29:14,170 [P14672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
 2017-05-16 18:29:14,170 [P14672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-05-16 18:29:14,176 [P14672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 6ms)
